year,month,vtype,make,make
2016,4,02 - Automobile,NISS,347
2016,4,02 - Automobile,NISSA,2
2016,4,02 - Automobile,NISSAM,1
2016,4,02 - Automobile,NISSAN,880
2016,4,02 - Automobile,NISSIAN,1
2016,4,02 - Automobile,NNISS,1
2016,4,02 - Automobile,OLDS,11
2016,4,02 - Automobile,PLYM,1
2016,4,02 - Automobile,PLYMOUTH,1
2016,4,02 - Automobile,POMTIAC,2
2016,4,02 - Automobile,PON,2
2016,4,02 - Automobile,PONITAC,1
2016,4,02 - Automobile,PONT,25
2016,4,02 - Automobile,PONTIAC,47
2016,4,02 - Automobile,PORS,12
2016,4,02 - Automobile,PORSCHE,18
2016,4,02 - Automobile,PORSHE,1
2016,4,02 - Automobile,RAM,5
2016,4,02 - Automobile,RANG,6
2016,4,02 - Automobile,RANGE ROVER,8
2016,4,02 - Automobile,RANGROV,1
2016,4,02 - Automobile,SAA,2
2016,4,02 - Automobile,SAAB,3
2016,4,02 - Automobile,SABB,2
2016,4,02 - Automobile,SAT,6
2016,4,02 - Automobile,SATR,1
2016,4,02 - Automobile,SATU,13
2016,4,02 - Automobile,SATUR,3
2016,4,02 - Automobile,SATURN,60
2016,4,02 - Automobile,SCIO,13
2016,4,02 - Automobile,SCION,83
2016,4,02 - Automobile,SMART,1
2016,4,02 - Automobile,STRN,14
2016,4,02 - Automobile,SUB,5
2016,4,02 - Automobile,SUBA,60
2016,4,02 - Automobile,SUBAEU,1
2016,4,02 - Automobile,SUBAR,1
2016,4,02 - Automobile,SUBARU,117
2016,4,02 - Automobile,SUBU,2
2016,4,02 - Automobile,SUBURU,3
2016,4,02 - Automobile,SUZI,5
2016,4,02 - Automobile,SUZU,3
2016,4,02 - Automobile,SUZUKI,20
2016,4,02 - Automobile,TESL,2
2016,4,02 - Automobile,TESLA,5
2016,4,02 - Automobile,TOT,4
2016,4,02 - Automobile,TOTOTA,1
2016,4,02 - Automobile,TOTOYTA,1
2016,4,02 - Automobile,TOTY,5
2016,4,02 - Automobile,TOY,2
